Spin Correlations values from pickles/*.pickle
For inp values for each row see inp_readme.csv

Temp,n_samples,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,mean_d6,mean_d7,mean_d8,mean_d9,std_d1,std_d2,std_d3,std_d4,std_d5,std_d6,std_d7,std_d8,std_d9
2.0,500.0,0.012138555981727542,0.0030485559494100515,-0.0001814440654817915,-0.0017814440615836348,-0.001691444060805388,-0.001971444060945089,-0.002161444057062056,-0.002211444042212115,0.0,0.019787923004231437,0.010762927945083699,0.007677878992313574,0.007009791941823963,0.0066231987236813625,0.00719941866863125,0.007728931210087376,0.00859643738495583,0.0
2.1,500.0,0.022132102789788027,0.006882102774644725,0.0015621027583343548,-0.0009978972589830093,-0.0020978972580423657,-0.002767897253899733,-0.003147897247637168,-0.0032878972340555706,7.28624549966544e+28,0.033947878782644755,0.020118526027489852,0.013064870475411215,0.011157740987870247,0.010521946094263393,0.011143081916861192,0.0110095311096003,0.012142580034820981,0.0
2.2,500.0,0.06662409918302728,0.03445409917592129,0.015334099156923471,0.004464099130001266,-0.0012559008447831771,-0.005425900861326369,-0.00774590092265921,-0.009135900856658708,0.0,0.08462633308155375,0.06153114226586289,0.043406767099506464,0.030531383117415847,0.021238072142443477,0.018379570680754836,0.020296231378993133,0.0231353897133626,0.0
2.3,500.0,0.12514735133151525,0.06873735146824562,0.035197351383709476,0.0144073515118385,-0.0005226486547058417,-0.01174264860412979,-0.016902648544704427,-0.020022648550638115,0.0,0.1108124559093067,0.08141897729640116,0.05914807008336197,0.04211178550261232,0.032806745594423745,0.03052191735919391,0.03403038709196908,0.04050868225031688,0.0
2.4,500.0,0.19163624995501596,0.10746625004184898,0.057276249974216625,0.02476624994571146,0.0020162498811377746,-0.013883750068645458,-0.023533750111358238,-0.029983750161052303,0.0,0.10840519289225882,0.08640469504329756,0.06596181345839723,0.05002035130974366,0.041927966929782186,0.042234265262580103,0.04849227099218838,0.05795815269111743,0.0
2.5,500.0,0.23886330041987822,0.1403433006895939,0.07799330054956546,0.036253300584445244,0.007253300483658677,-0.012236699603694433,-0.022276699487196603,-0.030846699640555017,0.0,0.08903625572097006,0.07663802655390321,0.06417704110566161,0.05606071028627633,0.05125404516912765,0.04924297617409127,0.05236683759090345,0.062270195029447015,0.0
2.6,500.0,0.23706795039400458,0.12974795047775842,0.06576795023059821,0.024067950354470232,-0.0023920497935614547,-0.021062049693167793,-0.03176204957359005,-0.03570204985667078,0.0,0.069466280074357,0.06433797075121417,0.06027781299246388,0.05388954238376856,0.05086007830053927,0.05105933339438083,0.05543103982518503,0.06661737108483774,0.0
2.7,500.0,0.2070435999184847,0.10569360040570609,0.04783360004503993,0.01527360020110398,-0.007136399853190523,-0.021076399773774027,-0.030786399743825313,-0.03575639985805712,0.0,0.06575257959633343,0.06356967011121385,0.059342128309647454,0.05178319365102859,0.04679934073768349,0.04573925949433834,0.05291903309593204,0.06015480732493444,0.0
2.8,500.0,0.2013948003202677,0.10127480025985278,0.04616480056266664,0.014914800430369796,-0.005655199539391178,-0.01776519959980622,-0.025365199504813064,-0.027155199557645393,0.0,0.06585925901976136,0.06343932793629926,0.056114728155051086,0.05279745424834519,0.05044463456559033,0.04715319853315965,0.051117184851470814,0.058712435462412525,0.0
2.9,500.0,0.18027774957194925,0.08615775003726595,0.0375477499493859,0.010427749890876003,-0.005352250040443615,-0.014892250041391816,-0.022292249987960967,-0.027012250049191062,0.0,0.060175640637338025,0.060857419400689984,0.05409972606264145,0.04982983925085422,0.047386377443487324,0.0490119144875407,0.05142988386750758,0.05864784461674161,0.0
3.0,500.0,0.16629240003158338,0.07106240001240803,0.026002400124511042,0.0016524000061358675,-0.006857600008898736,-0.0108976000116457,-0.01271759992828811,-0.01694759997574365,0.0,0.05803522732021267,0.056184586043381245,0.05318354652582563,0.04907905352642232,0.04664273513951295,0.047053169167573475,0.047928238658069826,0.05818703281360911,0.0
3.1,500.0,0.14628829997219145,0.05880830007385521,0.01658830007490542,-0.0010416999925005074,-0.009291699878860964,-0.015771699958924728,-0.02148170003735504,-0.02024169993012445,0.0,0.05744508418135926,0.05227026660214651,0.046247807732596555,0.04421359834045638,0.04293871469428168,0.04422059925159945,0.04989796575667089,0.05551319669188554,0.0
3.2,500.0,0.13617014971654862,0.047620150000846476,0.01100014993278819,-0.00554984999983979,-0.012729850047211949,-0.014629850096193841,-0.01764985011879253,-0.01884985003316833,1.5555814252469794e-41,0.048956257193620505,0.04875254573467324,0.04587282511796495,0.045898072455311884,0.04338002769092553,0.04306510037901859,0.04880128274880879,0.059083064762336455,0.0
3.3,500.0,0.12515149998106062,0.043201500020735695,0.008031500006311108,-0.007058499911498366,-0.012648499873019756,-0.015608499979180051,-0.01740849988134505,-0.01637850004640859,0.0,0.04921043007861038,0.046944534284873586,0.04336115097292454,0.043525842647850546,0.042252572195540176,0.04128364859025388,0.04496579843616926,0.049341029188122505,0.0
3.4,500.0,0.11313704992010025,0.03900705004149131,0.007977050058896566,-0.005292949834896718,-0.010412949835845939,-0.013062949843730166,-0.01637294991636416,-0.0178629499826784,1.5555814252469794e-41,0.04835918751309768,0.0466551834885924,0.04370405889697135,0.04276806410279536,0.041980824048875175,0.04412414235744833,0.045549672111868236,0.050428842341223405,0.0
3.5,500.0,0.1030964498581925,0.032656449882197194,0.003016449967966473,-0.007503550052468199,-0.012233550161296299,-0.01281355013571374,-0.012853550184409396,-0.01441355013605833,1.5555814252469794e-41,0.048270422340799785,0.0476103187811929,0.04478580933837874,0.04058521198591435,0.04195298506173213,0.04225415514108721,0.04189211085285909,0.04733731372902404,0.0
3.6,500.0,0.09261615000246093,0.028746149993708968,0.0044961499412779805,-0.005703850074693036,-0.010093850018811207,-0.010973850014266645,-0.01108385004413547,-0.012033850018557132,1.5555814252469794e-41,0.04612821690365929,0.0440662056566575,0.040226213573439834,0.04118616534336599,0.04163389030066945,0.04233669515610557,0.044293186731581405,0.04830212294750589,0.0
3.7,500.0,0.0897531499460456,0.025303149985200436,0.00044314995603737773,-0.007066850009162737,-0.010176850012176584,-0.012706849991948257,-0.01155684999271034,-0.009296850065471955,1.5555814252469794e-41,0.04600823037951981,0.04364471123460657,0.04127628037045657,0.042408393354681155,0.04098292237773186,0.04206205111718812,0.04158765939488259,0.047402370995954644,0.0
3.8,500.0,0.0841571999352891,0.02388719992171129,0.002677199972693052,-0.00504279994593162,-0.006742800001599244,-0.010312800033720997,-0.01177279999185339,-0.011132799951650669,1.5555814252469794e-41,0.04545540754924785,0.04181362879375995,0.03861466680291619,0.03970153728524509,0.04014341203937623,0.040223619349351626,0.04217608418089995,0.04596691912122434,0.0
3.9,500.0,0.07926310001140476,0.02051309998065524,0.000763099962699489,-0.005666900056414306,-0.005196900065315277,-0.008636900013600098,-0.007836900011869584,-0.011046899990415988,1.5555814252469794e-41,0.04330955935819218,0.041156004011049664,0.04101755261259757,0.04163648871504765,0.03932451763657717,0.03795962204434684,0.04208701627358731,0.04778389316882933,0.0
4.0,500.0,0.07187520003331883,0.013685199935560376,-0.0044547999868045736,-0.008224799978481315,-0.009144800033362117,-0.009974799988225569,-0.011834800058710243,-0.009984800044752775,1.5555814252469794e-41,0.04239834298883966,0.04318597188974055,0.040992939756955775,0.0406104667501487,0.0384384767642999,0.03743170734436783,0.038869909499166425,0.044001512802938125,0.0
4.1,500.0,0.06822784992564994,0.014337849963376358,-0.0038121500065426517,-0.009482150056981482,-0.01039214998419484,-0.010072150139455918,-0.007582150079153944,-0.00581215003608304,1.5555814252469794e-41,0.04072325332657109,0.04130987709586001,0.03868632710795927,0.0393305251918542,0.03951159455793033,0.04063148031151508,0.038456486883633456,0.043998298834405515,0.0
4.2,500.0,0.0626397999720648,0.013349799946764978,-0.002830199984713545,-0.0050202000467729525,-0.006150200062358635,-0.005130200021504134,-0.005740200005457155,-0.0035702001405670306,1.5555814252469794e-41,0.03856977274267293,0.04021079749112429,0.04161850399950044,0.04028297410171177,0.03950129675693123,0.03976979948571315,0.03951631945931527,0.04334046109835432,0.0
