Spin Correlations values from pickles/*.pickle
For inp values for each row see inp_readme.csv

Temp,n_samples,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,mean_d6,mean_d7,mean_d8,mean_d9,mean_d10,mean_d11,mean_d12,mean_d13,mean_d14,std_d1,std_d2,std_d3,std_d4,std_d5,std_d6,std_d7,std_d8,std_d9,std_d10,std_d11,std_d12,std_d13,std_d14
1.1,500.0,-1.7247506057174177e-06,-6.1691951941611475e-06,-6.1691951941611475e-06,-1.7247508239961461e-06,-6.1691951941611475e-06,-1.7247505693376298e-06,-1.7247505693376298e-06,-6.1691951941611475e-06,-1.7247507876163582e-06,-6.1691951941611475e-06,-6.1691951941611475e-06,-6.1691951941611475e-06,-6.1691951941611475e-06,4.624284932271896e-44,9.9362595149082e-05,1.1708797819120581e-05,1.1708797819120581e-05,9.825153940036947e-05,1.1708797819120581e-05,9.667671153114108e-05,9.667671153114108e-05,1.1708797819120581e-05,9.461493521886253e-05,1.1708797819120581e-05,1.1708797819120581e-05,1.1708797819120581e-05,1.1708797819120581e-05,0.0
1.11,500.0,-1.1794003530667396e-06,-1.1794003530667396e-06,-1.1794003894465277e-06,-5.623844977890258e-06,-1.1794003894465277e-06,-5.623844977890258e-06,-1.1794006077252561e-06,-5.623844977890258e-06,-1.1794003894465277e-06,-5.623844977890258e-06,-5.623844977890258e-06,-5.623844977890258e-06,-5.623844977890258e-06,4.624284932271896e-44,9.672521401559197e-05,9.672521401559197e-05,9.940978718761392e-05,1.2301381139148057e-05,9.940978718761385e-05,1.2301381139148057e-05,9.829926484316461e-05,1.2301381139148057e-05,9.940978718761359e-05,1.2301381139148057e-05,1.2301381139148057e-05,1.2301381139148057e-05,1.2301381139148057e-05,0.0
1.12,500.0,-8.340391056663066e-06,-3.8959464318395475e-06,-3.8959464318395475e-06,-8.340391056663066e-06,5.484981566041825e-07,-3.8959464318395475e-06,-3.895946468219336e-06,-8.340391056663066e-06,-8.340391056663066e-06,5.48497938325454e-07,-3.895946468219336e-06,-8.340391056663066e-06,-8.340391056663066e-06,4.624284932271896e-44,1.6632172301845998e-05,9.749471411900053e-05,9.749471411900053e-05,1.6632172301845998e-05,0.0001386392512718427,9.74947141190004e-05,0.00010015866434449075,1.6632172301845998e-05,1.6632172301845998e-05,0.0001372094800230789,0.0001001586643444912,1.6632172301845998e-05,1.6632172301845998e-05,0.0
1.13,500.0,8.130651401188515e-06,-9.647126770687464e-06,-9.647126770687464e-06,-9.647126770687464e-06,-9.647126770687464e-06,-7.582375938000041e-07,-9.647126770687464e-06,-5.2026824005224625e-06,-5.202682182243734e-06,-9.647126770687464e-06,-9.647126770687464e-06,-5.202682182243734e-06,-9.647126770687464e-06,4.624284932271896e-44,0.00019583030588688296,1.6299311890566394e-05,1.6299311890566394e-05,1.6299311890566394e-05,1.6299311890566394e-05,0.00014056902228508928,1.6299311890566394e-05,9.905983829539325e-05,0.00010016192832032379,1.6299311890566394e-05,1.6299311890566394e-05,0.00010016192832032387,1.6299311890566394e-05,0.0
1.14,500.0,-2.7317937292536953e-07,-9.16206836791389e-06,-2.7317959120409795e-07,-4.7176237794701595e-06,-9.16206836791389e-06,-9.16206836791389e-06,-9.16206836791389e-06,-2.731794093051576e-07,-4.717623997748887e-06,-9.16206836791389e-06,-9.16206836791389e-06,-9.16206836791389e-06,-2.731794093051576e-07,4.624284932271896e-44,0.00013791612147482401,1.6780835715965484e-05,0.0001364787748233631,0.00010021990387981505,1.6780835715965484e-05,1.6780835715965484e-05,1.6780835715965484e-05,0.0001398119999322258,9.911845848354819e-05,1.6780835715965484e-05,1.6780835715965484e-05,1.6780835715965484e-05,0.00013981199993222594,0.0
1.15,500.0,-5.035401017266849e-06,-5.035400798988121e-06,-5.035400980887061e-06,-9.47984538743185e-06,-9.47984538743185e-06,-9.47984538743185e-06,-5.909564288231195e-07,-9.47984538743185e-06,-9.47984538743185e-06,-9.47984538743185e-06,-9.47984538743185e-06,-5.035401017266849e-06,-5.035401017266849e-06,4.624284932271896e-44,9.890442049827166e-05,0.00010000822324070174,9.529273511798831e-05,1.537489332319185e-05,1.537489332319185e-05,1.537489332319185e-05,0.0001396704535386859,1.537489332319185e-05,1.537489332319185e-05,1.537489332319185e-05,1.537489332319185e-05,9.890442049827177e-05,9.890442049827165e-05,0.0
1.16,500.0,2.9356417226154006e-06,-1.5088021455085255e-06,-5.953246835815662e-06,-1.0397691205980663e-05,-1.0397691205980663e-05,-5.953246835815662e-06,-5.953246581157145e-06,-1.508802210992144e-06,-1.0397691205980663e-05,-5.953246799435874e-06,-1.0397691205980663e-05,-1.0397691205980663e-05,-5.953246617536933e-06,4.624284932271896e-44,0.00021092073430329484,0.00013194562351056516,9.97892482166067e-05,2.010070597950369e-05,2.010070597950369e-05,9.978924821660684e-05,9.82390737930806e-05,0.00013843866918134096,2.010070597950369e-05,9.621078438444745e-05,2.010070597950369e-05,2.010070597950369e-05,0.00010088337019399962,0.0
1.17,500.0,-8.845694956107764e-06,-8.845694956107764e-06,-8.845694956107764e-06,4.319432991906069e-08,4.487638663704274e-06,-8.845694919727975e-06,-1.3290139326272765e-05,-4.401250331284246e-06,4.319403888075612e-08,-4.401250367664034e-06,-1.3290139326272765e-05,-8.845694956107764e-06,-1.3290139326272765e-05,4.624284932271896e-44,0.00010057228017600623,0.00010057228017600617,0.00010057228017600617,0.0001668534140126814,0.00019449331181124618,9.702270101500233e-05,2.313476197222603e-05,0.00013846669271012522,0.00016984822412629473,0.00019494915486495144,2.313476197222603e-05,0.00010057228017600647,2.313476197222603e-05,0.0
1.18,500.0,3.7251172188916827e-06,-1.4052660778361314e-05,-7.19327376828005e-07,-5.163771746993007e-06,-7.193271949290647e-07,-9.608216153537796e-06,-5.163771819752583e-06,-9.608216408196313e-06,-1.4052660778361314e-05,-7.193272313088528e-07,-1.4052660778361314e-05,-9.608216408196313e-06,-9.608216189917585e-06,4.624284932271896e-44,0.0002303908752036063,2.7323606521181944e-05,0.0001684598954587133,0.0001373732303869505,0.00017117148046881425,0.00010012964262351029,0.00014177207841039585,0.00010165099000975716,2.7323606521181944e-05,0.00017270267655205483,2.7323606521181944e-05,0.00010165099000975723,0.0001027252845876974,0.0
1.19,500.0,3.7336201376092503e-06,-9.599713482202787e-06,-5.155268930138846e-06,-1.4044158107026306e-05,-1.8488602731849822e-05,-1.8488602731849822e-05,-1.4044158361684822e-05,-9.599713736861304e-06,-9.599713554962363e-06,-5.155269039278209e-06,-5.155269184797362e-06,-1.4044158179785882e-05,-9.599713627721939e-06,4.624284932271896e-44,0.00021911714971079455,0.0001424055944713893,0.00015783006775838468,0.00010488118543126031,4.100325111666449e-05,4.100325111666449e-05,0.00010633457336754962,0.00014347937752445827,0.00014605625922970217,0.00020144763407806826,0.00015879958667747195,7.994533072544934e-05,0.0001315091476047644,0.0
