Spin Correlations values from pickles/*.pickle
For inp values for each row see inp_readme.csv

Temp,n_samples,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,mean_d6,mean_d7,mean_d8,mean_d9,mean_d10,mean_d11,mean_d12,mean_d13,mean_d14,mean_d15,mean_d16,mean_d17,mean_d18,mean_d19,mean_d20,mean_d21,mean_d22,mean_d23,mean_d24,mean_d25,mean_d26,mean_d27,mean_d28,mean_d29,mean_d30,mean_d31,mean_d32,mean_d33,mean_d34,mean_d35,mean_d36,mean_d37,mean_d38,mean_d39,mean_d40,mean_d41,mean_d42,mean_d43,mean_d44,mean_d45,mean_d46,mean_d47,mean_d48,mean_d49,std_d1,std_d2,std_d3,std_d4,std_d5,std_d6,std_d7,std_d8,std_d9,std_d10,std_d11,std_d12,std_d13,std_d14,std_d15,std_d16,std_d17,std_d18,std_d19,std_d20,std_d21,std_d22,std_d23,std_d24,std_d25,std_d26,std_d27,std_d28,std_d29,std_d30,std_d31,std_d32,std_d33,std_d34,std_d35,std_d36,std_d37,std_d38,std_d39,std_d40,std_d41,std_d42,std_d43,std_d44,std_d45,std_d46,std_d47,std_d48,std_d49
1.5,500.0,0.00020959312353124914,-4.40687702212017e-06,-3.2068771874946834e-06,6.793123060106154e-06,5.9931231321570525e-06,-6.406877072095085e-06,8.793122765837325e-06,-1.2006877171643282e-05,6.393123146153812e-06,6.393122979716281e-06,-2.0068771591468247e-06,1.1193123098109937e-05,1.6393122915815185e-05,1.0793122959967149e-05,7.931226223263366e-07,3.193122980519547e-06,4.793122867795319e-06,-4.4068769002478805e-06,-9.206877418819204e-06,-1.0406876776414719e-05,-2.4068768784673013e-06,-1.6068769973571761e-06,-6.877126452309312e-09,1.4793122866649355e-05,3.5931228471781653e-06,-6.8769431891269055e-09,-5.606876629371982e-06,2.7931229742534925e-06,-3.606876968206052e-06,-1.3206876883486984e-05,-1.1206877285985684e-05,-7.206876867712708e-06,3.9931229334797535e-06,-9.60687738188426e-06,3.9312295166382684e-07,-8.406876999288216e-06,1.993122994463192e-06,-1.1206876925825782e-05,2.7931229460591568e-06,-4.0687687351237403e-07,-1.2806876800823375e-05,-6.806877378039644e-06,3.9312303579208673e-07,7.193123029992421e-06,-6.0068774132560065e-06,-6.406877594145044e-06,7.593122716571088e-06,1.0393122567165847e-05,0.0,0.0003415220329832032,0.0002006949637744928,0.0002115633278581675,0.00019054638701808236,0.00020231017558641534,0.00019355782841372712,0.00019720282934282624,0.00019301431600314708,0.0001862878038663628,0.00020392571097533097,0.00020458905239394793,0.00020918053362559968,0.00020087860624309613,0.00020875516794843465,0.000203779336672475,0.00019322829003905981,0.00019460563841171467,0.00019242349864072907,0.00018879631368484142,0.0002028170565318912,0.00019902797804023143,0.00019288991171792472,0.00020051561656629394,0.00020995131201438983,0.00018427463404844797,0.00019093945380130062,0.00020795490843872344,0.00019625332376297074,0.00019879031745624097,0.00019369614085746158,0.0001945807371709394,0.0001879665589648549,0.00018993877794446718,0.00019562563034315503,0.00019407229601915916,0.00018811313804658028,0.00019136485947138885,0.00018274290994363038,0.00018406961956655418,0.00019079439151807533,0.00018084121557806836,0.0001972313423934189,0.00018467193756592254,0.00018591558011124234,0.0001972017322637449,0.0001940383840703981,0.00019154622481782303,0.0002007184386321155,0.0
1.501,500.0,0.00028168386936795286,3.328386952580331e-05,6.483869060048164e-06,7.683869078391581e-06,1.283869062717713e-06,-1.0716130777382205e-05,-1.3516130791231262e-05,-3.916130503057502e-06,-1.1161308998453024e-06,-1.1516130722156959e-05,-5.116131082104403e-06,-1.4316130739643995e-05,-2.7161310995325038e-06,6.483869315161428e-06,-6.3161309303723105e-06,-7.916130894500385e-06,-1.07161310270385e-05,-3.916131311143544e-06,-1.1161306538269855e-06,-1.03161308311428e-05,-3.5161306395821157e-06,8.838691369419394e-07,1.2838693619414697e-06,-1.9161306713613156e-06,-4.716130797078222e-06,7.683869211632555e-06,-2.7916130472021904e-05,-9.516130440715643e-06,-1.6316130723680545e-05,-1.6316130470841017e-05,1.1683869334319752e-05,-7.916130697140034e-06,3.6838692612946033e-06,4.838688651034318e-07,2.4838688982526946e-06,-1.9161309182891274e-06,-3.516130948810314e-06,6.083868803216319e-06,2.8838690072916508e-06,-1.5161307578637206e-06,8.883869481451257e-06,-5.116130579153832e-06,-1.5161306810114184e-06,-1.4716130994656851e-05,-3.161310246468929e-07,-1.751613093938431e-05,-1.6316130819632234e-05,-2.7161309590155726e-06,0.0,0.00044082928155802625,0.000248606175328075,0.00021256012019869985,0.00021909178587413495,0.00019764872534782177,0.00019535593243181723,0.0001961187403835856,0.00020109657309030473,0.0002021957206781527,0.0001838052774234106,0.00020163437739350418,0.00019488958919073926,0.00020668736987031802,0.00021080444289474473,0.00019560097164445268,0.0001880757512294214,0.00018967008230303734,0.000210191478579563,0.0001892267140805142,0.000190021619138076,0.0001951623288107306,0.00019801244716980272,0.0002033810201869099,0.00020100159088629055,0.00018852558946471485,0.00020431449884249933,0.00019012443360882814,0.0001922972711533788,0.0001768532306408745,0.00019641842048307543,0.00020419906229406242,0.0002063505964399422,0.0001928158420941828,0.00020464188910566746,0.0001998150244874514,0.0002025973750392272,0.0001997190792314936,0.0002085864730924109,0.00019624075827533868,0.00021284461094891118,0.00021535803690102823,0.00020191658988588174,0.00020735166704771265,0.00019994831827430692,0.00020924901055031388,0.00019441639010673318,0.00019636395764576164,0.00020488736276213083,0.0
1.502,500.0,0.0002389803869273237,2.538038687316657e-05,1.7803868536248047e-06,-1.1019612976269855e-05,-1.3419613109363126e-05,-1.4196133743098471e-06,2.98038678465673e-06,2.9803865909343584e-06,-2.2196132340468467e-06,-4.619613109753118e-06,-2.5019612833148132e-05,-1.3819613151554223e-05,4.5803861908098045e-06,5.803869230476266e-07,8.180386750154867e-06,-1.0196133926001493e-06,3.3803865894697084e-06,6.180386962569173e-06,-2.1819613071329514e-05,-7.019613281954662e-06,-1.1819613364423276e-05,3.3803868323047937e-06,1.3380386517837905e-05,-2.219613205852511e-06,-3.4196135766251247e-06,-1.8219613247310916e-05,-9.81961346587923e-06,1.3803868482682446e-06,-6.219613395842316e-06,2.580386759746034e-06,-1.9019613345790276e-05,-1.941961316879315e-05,-2.7819613068459147e-05,-1.1419613272209972e-05,-1.3419613234873395e-05,-1.0196130792792247e-06,-1.0196131520388007e-06,1.578038695242867e-05,-1.4196133279256174e-06,-1.3419613478163228e-05,3.7803866057402046e-06,-6.219613037956151e-06,-1.1019612906238763e-05,-9.419613514182856e-06,-2.6196135022473755e-06,6.580386796485982e-06,8.980386987332167e-06,-6.219612876975589e-06,0.0,0.0003577638257174363,0.0002313495498976598,0.00020682628253255596,0.00019685384800184082,0.00020150469437292778,0.00019066478997810217,0.00020207120004997852,0.0002027418272940612,0.00020757104340577424,0.00018975985830700464,0.0001831578672478656,0.00019872243600332272,0.0001916451641206292,0.00019442065318335693,0.00019735826642662394,0.00020356991721192627,0.00019567137048339322,0.00020771372022396808,0.00018879646207166159,0.00019765174203720284,0.00018925056912658743,0.00020589454170635567,0.00021289950543382585,0.00020215357946110502,0.00019506724387858757,0.00020067479685532133,0.00019960479163861863,0.0002115974347421255,0.00019950877120034964,0.00020318131387866699,0.00019297289258746308,0.00018953132757252607,0.0001844660592931381,0.00019623614170963244,0.00019498905406751702,0.00019436632525496875,0.00020537740804502246,0.0002138788325628168,0.000202505244022851,0.00019381089163062634,0.0001837709275665476,0.00020567721426963356,0.00020118068339046235,0.0001973262632069737,0.00019362906389010454,0.00020047852276148948,0.0001980532650850179,0.00020372981012305034,0.0
1.503,500.0,0.00024387183099634058,1.4271830519646756e-05,-3.7281695440469775e-06,1.471830434184085e-06,-1.972816933357535e-05,-1.3281696037665824e-06,-8.128169292376696e-06,-2.5281693224314948e-06,1.1071831029312306e-05,2.671830444469947e-06,-1.2928169362439235e-05,-2.1281694069870128e-06,-2.2128169109691954e-05,-9.281689231102064e-07,-1.1728169230991625e-05,-8.52816943961443e-06,-8.128169292831445e-06,-2.05281696653401e-05,-8.528169526471174e-06,-1.4128169260274603e-05,-6.928169474122114e-06,2.67183056439535e-06,-1.8128169510418956e-05,4.271830526704434e-06,-9.281692655349616e-07,-9.328169635409723e-06,1.4718307870680293e-06,-2.9281694010023785e-06,-9.32816931299385e-06,5.0718302522909655e-06,6.6718305902213615e-06,-7.328169374758886e-06,-1.4128169031664583e-05,-6.928169309830423e-06,-1.7281692753385869e-06,-4.928169430058915e-06,-3.328169379983592e-06,-9.72816970124768e-06,-4.528169590102493e-06,1.3871830498956682e-05,-1.2816965909223654e-07,-4.5281697207428805e-06,2.2718304372943975e-06,4.6718307027191484e-06,-1.372816912316921e-05,-4.928169485864942e-06,-7.728169565652365e-06,-3.7281693712429842e-06,0.0,0.00037651854393218077,0.0002156572739418466,0.00019302615666878044,0.00020949901189489485,0.00019846469980559555,0.00021085359230432486,0.00019190582405637031,0.00019439669301167425,0.00021798633522955346,0.00020254170783960497,0.00019145892274824197,0.00019316196285033922,0.00019332081072221123,0.000191630340642483,0.00019191213214434167,0.000195350851176587,0.00019581097170038065,0.00019210020349810116,0.0001943913526533375,0.00020385620620344262,0.00019574341063888248,0.00018611966771546918,0.00019614287316006623,0.0001966721956346524,0.00019660734863705373,0.00020058692268344687,0.00019199388652682507,0.00020641118090774664,0.00019408580554600678,0.00021364485825217406,0.0001946398049157847,0.00019886680056671553,0.00018884745693631766,0.00019776972278785546,0.00020519417426509808,0.00018680024069834224,0.00019120044598499106,0.0002006405485844455,0.0002070357907396046,0.0002052809428102135,0.00019647048508331883,0.00021110533579372551,0.00020288555663760025,0.00020046214736641184,0.0002048959534228277,0.00020187851699679467,0.00019994288240727736,0.00020908689086527582,0.0
1.504,500.0,0.00025764811645058217,3.3248117616039965e-05,-1.5951883040088432e-05,-1.035188273044696e-05,-1.7151883028418526e-05,-2.3151882729507632e-05,-1.4751882906693936e-05,3.6481170700426444e-06,-1.5518828331551049e-06,-1.3551882984302211e-05,-3.5518829449756593e-06,-3.551882831743569e-06,-5.151883067355812e-06,-1.1551883057563828e-05,-2.395188311857055e-05,-9.151883069080214e-06,4.811691496797721e-08,-9.951883062058186e-06,-4.351883201252349e-06,-9.551882898904296e-06,5.648117198234104e-06,-1.4351882860410115e-05,6.448116916544677e-06,-9.551882950290746e-06,-2.7518831311681426e-06,8.448116662748361e-06,-1.1551883184438338e-05,-1.4751883144072053e-05,-5.551883040880057e-06,-5.951882768385985e-06,2.0481170540733727e-06,-1.4351883285598887e-05,-1.951882877619937e-06,6.848116963737994e-06,-6.351882839680911e-06,1.248117529485171e-06,-1.395188262767988e-05,-1.4351882885421219e-05,-9.151883021786488e-06,-2.4751882591317553e-05,-5.9518827138163034e-06,-5.951882958925125e-06,-2.3518830480497854e-06,-6.351883134811942e-06,-1.035188291598388e-05,-1.5518830973633158e-06,-9.551882828418456e-06,1.3648116994772864e-05,0.0,0.0003784860057880316,0.00023739798174481622,0.00019070400271269306,0.00019597007932339582,0.00017896301216855815,0.00019068540493824007,0.000183451739609725,0.00020143657031925709,0.00020793443824711043,0.0001886630617657604,0.00018921718446884264,0.00019798746639519845,0.00020355198016391661,0.00019558487125717448,0.00018568990871368026,0.00019238658059026316,0.00021265376265036318,0.0002024539038850302,0.00020097427892527085,0.00019710747647355809,0.0001996632149117925,0.000184142362062018,0.0001940363506178961,0.00019792448908976645,0.00020929244721625006,0.00020284147458988848,0.00018639152731237492,0.00019355295296958548,0.00019303402518364024,0.00019693176408334612,0.0001986520388225652,0.0002100807532216149,0.00021466256536093977,0.00021763982841705923,0.0001905264897226957,0.00019708231196164137,0.00019650399956772034,0.00019113458557136159,0.0001945937613818108,0.00018008219210377836,0.00019905800592042323,0.00020105398522640797,0.00019467286710709076,0.0002030389755088677,0.0001943586519587668,0.0002061932506993117,0.00019820224523134236,0.00021628784518833006,0.0
1.505,500.0,0.0010844963399090374,0.0006956963524876301,0.0005472963431107018,0.0004204963511397182,0.00031049634680266536,0.00022369634784081427,0.00015249634480005625,8.929634461037494e-05,5.409634552506759e-05,3.96963454750221e-05,2.129634650418666e-05,4.496346453379374e-06,-4.703654314198502e-06,-1.3903654163641476e-05,-6.703654110424395e-06,-1.95036543873357e-05,-3.470365409202713e-05,-4.303654140130675e-06,-5.903654126996116e-06,-1.1903654607067438e-05,-7.036541624074744e-07,-1.590365424499396e-05,-1.2303654310269252e-05,-3.9036538746586305e-06,-7.103654028469464e-06,-1.3903654337354965e-05,-1.8303654044302676e-05,-1.950365383981989e-05,-1.6703653796867003e-05,-2.7103654251277477e-05,-3.103653893049341e-06,-1.3503653722636954e-05,-2.430365479358443e-05,-2.190365402839234e-05,-6.3036544902388415e-06,-2.670365389303697e-05,-2.070365431609389e-05,-1.910365370031286e-05,-2.303654003299016e-06,-4.303654189698136e-06,-2.150365448642333e-05,-1.5103654317751847e-05,-1.030365377053144e-05,-4.703653927663254e-06,-1.1503654148782517e-05,-1.91036540713867e-05,-1.2303654298193578e-05,-3.0365448992597523e-07,0.0,0.004849531464522048,0.0041096585639081385,0.0034451622369168168,0.0028713921312258544,0.002323931416355725,0.001819892174871347,0.0014038860196128916,0.0010749940274498127,0.0008309503234876963,0.0006086837266050109,0.00040226071520361404,0.0003293339059221408,0.00025124539981789725,0.00021707161820419806,0.00022756164901734885,0.00020578521510374048,0.00021010836503880848,0.00022797217077099907,0.00021211778113785487,0.0002467175660356522,0.00023153380413104942,0.0002334382932967055,0.00023019664596799419,0.00023701465214439008,0.00022816288739831766,0.00024122549938916494,0.00023236175682846686,0.0002407779677501997,0.00023148241211461045,0.0002456126654850794,0.00024280124501714875,0.00023875516653494618,0.000247960735569353,0.00023889898666916987,0.00023865237370239708,0.00023152446485101105,0.0002347157128124271,0.0002305341126525286,0.00024225849103531828,0.00022213581827676678,0.0002128253682195837,0.00022307912053265455,0.00022231962520194123,0.00022812215246341942,0.00023621826166297328,0.0002521689721254533,0.0002400648810215078,0.0002421966934752039,0.0
1.506,500.0,0.00024841154944624575,4.3611548725493774e-05,1.201154902946655e-05,-7.1884509802657705e-06,-1.988451082070242e-06,-1.5188451620815612e-05,-3.8845115432195597e-07,-2.7884512455784715e-06,3.611548931985453e-06,-4.388450987335091e-06,-1.3988450766646566e-05,-1.678845094920689e-05,-7.988450766333699e-06,-1.4788450976084277e-05,7.611548823206249e-06,-7.1884513904478805e-06,2.811548815770948e-06,4.01154871997278e-06,-2.1188451019497734e-05,8.01154896407752e-06,8.115488521980297e-07,5.611548861907068e-06,9.611549025521526e-06,-3.188451314144913e-06,-1.5188450865935011e-05,-2.0388450863265463e-05,-5.188450966670643e-06,-6.788451176362286e-06,1.2115488925701356e-06,6.01154914329527e-06,8.011548814920389e-06,-1.7188451170113695e-05,-3.1884510822237643e-06,-1.5988450999429917e-05,-8.388451235532556e-06,-3.8845099561513054e-07,-1.9884511052623567e-06,-5.5884510629766735e-06,-9.588450999217457e-06,-1.1188450976987952e-05,-1.1188451013822487e-05,3.2115495928337625e-06,4.411549190990627e-06,-6.3884505398164036e-06,-2.7884509213436106e-06,-1.1988451058186911e-05,8.115488940347859e-07,-7.988450880475283e-06,0.0,0.0003974089747249177,0.00022822198773338819,0.00019882499243169916,0.00019352780400773352,0.00018389470717254636,0.0001917729650155326,0.00018926900295251838,0.00019438776017282822,0.00020233149819073363,0.00020389148918526021,0.0001997541098421361,0.00019349128930287775,0.00018473485812892456,0.00018428504963631295,0.0002037309345065426,0.00018748071319715998,0.00020185446351528422,0.00019363181328561845,0.0001891253878137903,0.00019738895170214336,0.0001965887611763329,0.00021384348670381692,0.0001989999078654556,0.00018994139277689074,0.00018456249995489672,0.00018861659552938837,0.00019191008497446385,0.00019564579360430522,0.00020236666483816726,0.00021410434717409043,0.00020190866709931073,0.00018917279391630136,0.00019114952539129592,0.00018878175327635365,0.00018509851442378595,0.00019432749744466797,0.00019516559441404443,0.00019745728992643107,0.00019030614053491701,0.00018917421049095622,0.00019805006664869306,0.00020005595082697042,0.00019495098221417663,0.0002003548402714738,0.00020393704581817123,0.00019741904958420813,0.00021512942120906073,0.0001943278737694941,0.0
1.507,500.0,0.00027003021865812117,4.563021879357621e-05,1.3230218593889731e-05,-7.169781255470298e-06,-1.5569780623081898e-05,-7.169781206812331e-06,1.230218731052446e-06,-8.769781164573943e-06,-3.697807501339412e-07,-1.7169781148822948e-05,1.043021859595683e-05,-1.9697812090271327e-06,-8.76978106543902e-06,-1.1569781169328053e-05,-2.3697809679106284e-06,-9.169781150376366e-06,-3.96978098569889e-06,-1.569780783938768e-06,-5.569780927089596e-06,-9.1697810757978e-06,2.0302188063396897e-06,3.2302184977197612e-06,-7.169781266838982e-06,4.8302190157301085e-06,4.430218886682269e-06,1.3230218638454972e-05,8.302188984998793e-07,-3.9697811644145984e-06,-1.476978086247982e-05,-1.6369781035791674e-05,-2.0369780901091872e-05,-2.3569780873458513e-05,-1.7169781028769648e-05,-1.3569780728630576e-05,3.2302187560162565e-06,-1.196978123198278e-05,4.030218918614992e-06,4.3021879446314413e-07,-3.96978091703204e-06,-3.969780673742207e-06,-1.7569780936810275e-05,3.0218778192647734e-08,4.430218948982656e-06,8.430219142155693e-06,5.230218803262687e-06,1.3630218955768215e-05,-1.116978127083712e-05,-2.769781267943472e-06,0.0,0.0004087087369584743,0.0002277869709292178,0.00020706476140465032,0.00019776832429575615,0.0001920708628129159,0.00018597836880705144,0.00020341949221177675,0.00020110969230943484,0.00019604716952203313,0.0002003629983995775,0.00021348410096843433,0.00020304887121573543,0.00019713758885575076,0.00019976712199960362,0.00020072731782063314,0.0002072244628107374,0.00020417973092757332,0.00019710152333855875,0.0001922338014561691,0.00019732590927732792,0.0002069959875707282,0.00020349671584100489,0.00020875065474523088,0.00020408998458262283,0.00019534547186994002,0.00020216894255724107,0.00019403120178754417,0.00019958129366585034,0.00018802194271413087,0.00019445019302113655,0.0001882126112322031,0.00018825495983795543,0.00018834401197392731,0.00019183506877933646,0.00020312695400596744,0.0002045033699770861,0.00020889640213818872,0.00021135564965877872,0.00020453464059703113,0.00018823637695052225,0.00019097690592235448,0.00020409043039747548,0.00020511982029605417,0.00020387129572103335,0.00019162536015629713,0.00019322387977163848,0.00018900881404131328,0.0002058528524847879,0.0
1.508,500.0,0.00025391458128297016,4.5514582559007976e-05,-8.085417424098296e-06,-6.885417335070088e-06,-1.728541733142208e-05,-1.0485417126801621e-05,-1.6485417204748388e-05,4.71458292830107e-06,-4.854173952111296e-07,-2.0485417144172402e-05,7.145827594285947e-07,-2.0854171554844923e-06,3.114582637664398e-06,1.15145825544829e-05,5.5145825165539005e-06,-1.76854174123946e-05,-2.8485417120464263e-05,-3.0485417263662384e-05,-8.485417164919795e-06,-1.7285417195452624e-05,2.3145828860293707e-06,-1.685417334556405e-06,3.914582580165416e-06,7.114582856502238e-06,3.514582643347808e-06,-1.6854173826317264e-06,-4.8854173287509184e-06,-8.485417549309204e-06,-1.8085417712754293e-05,-4.485417031446559e-06,-2.168541764604015e-05,-2.8854173459507137e-06,-1.6854171303748444e-06,-8.541782744941883e-08,-1.8485417439023876e-05,-5.285417147661064e-06,-4.485417076011799e-06,1.1145826197207497e-06,-1.8485417311694617e-05,4.314582543429424e-06,1.5145828662213034e-06,-3.6854171139566462e-06,2.314582314866698e-06,-8.885417430974485e-06,9.914582961300766e-06,2.7145828494212767e-06,-8.085417029505494e-06,3.1458248031412947e-07,0.0,0.0003730356149656043,0.00022811055281479956,0.0001951447144341141,0.00018998865541941954,0.00019254195329725546,0.00020540733343777086,0.00018653555861105676,0.00019721686852826822,0.00020039397104224451,0.00019816488081411324,0.00020461923705680115,0.00020059052131136558,0.00019775632001542125,0.00021042085284977762,0.00020394919211071257,0.00019813258337155457,0.0002047653772618734,0.00018550383094087636,0.0001991721961713422,0.00019620881096179304,0.00020702938473576455,0.0001994018159836913,0.00020015036519637793,0.00020188708649748516,0.00020122138730461686,0.0002034883310044102,0.00019680492570248002,0.00019183597970397204,0.00019864415910481362,0.000203838301027215,0.00019789548216331786,0.00020047437194382263,0.00020339686860467468,0.00020830695619163437,0.00020368320363316626,0.00019939585006994648,0.00020874776142916515,0.00021399961272204474,0.00019106127368318372,0.00019598488849674602,0.00020611615937734395,0.00019750385512745306,0.00019558471361959438,0.0001792718906960358,0.00021893369178961652,0.00020366309281978425,0.0002022216597905424,0.00020257133586513485,0.0
1.509,500.0,0.00026294564884938156,2.4545649304982932e-05,-1.8543509522714884e-06,-1.8654350583673818e-05,-4.254350673818408e-06,-9.054350794031052e-06,4.14564919323368e-06,-2.5435060615564e-07,2.545649331295863e-06,-1.8543510545896424e-06,-6.2543509902752705e-06,-2.654350927514315e-06,-2.654351020737522e-06,-7.054351061469788e-06,-9.854350673776935e-06,5.456492340272234e-07,7.745649229946138e-06,-2.2254351009451056e-05,-1.4654351024091739e-05,-2.0654351120811045e-05,-7.054351052829588e-06,4.9456490020389764e-06,1.3456488586598426e-06,-6.654350919689023e-06,-7.454350897532436e-06,-4.654350911550864e-06,-1.054351040693291e-06,-1.2254351177816148e-05,-1.5854351161578963e-05,-5.854351043907968e-06,2.1345648978368105e-05,-2.2543509106611736e-06,1.3345649374514324e-05,7.345649453910141e-06,-1.145435038688447e-05,7.745648785203229e-06,6.945649241515639e-06,1.7345648840546345e-05,1.3456494504140438e-06,-1.0254351437978927e-05,-5.0543505294626814e-06,-1.3054350721631635e-05,-2.0654350591030378e-05,-6.254350822800347e-06,-1.3054350989477826e-05,-2.2254351078572654e-05,6.545649437612155e-06,-9.05435065533311e-06,0.0,0.0004153548791005786,0.00022846564082551843,0.00021298703051352534,0.0002042001070803825,0.00019496567734082903,0.00020384752540676386,0.00020348263073827858,0.00021463672054308463,0.00021002000512967273,0.00019854894396204145,0.00019653856914895524,0.00020059807653470993,0.00019908669630405913,0.0001985132639942603,0.0002029771994522989,0.00020153250548737953,0.00021485415477071323,0.0002057462875336255,0.00019364530845762828,0.00020200410026964384,0.0002114032959318211,0.0002134924684887299,0.00019441479560215405,0.00020353617099632868,0.00019917907163997773,0.0001989467197978518,0.0001951564187054164,0.00020056641748233527,0.0001979990536959498,0.0001954102903910702,0.00020840820027686946,0.00021960351618629978,0.00022266439324833978,0.00021648197763853952,0.00019796387632623527,0.00021385491923467544,0.00019901733446370693,0.00021502465907234227,0.0002098858481307201,0.00019673797868438006,0.00019739361846651663,0.0002000112611276881,0.00019399983037792344,0.000190556495954641,0.00019412469658272266,0.00019279077657451994,0.00021362862057942617,0.0002019780525422296,0.0
