N,n_steps,n_analyze,flip_perc
10,10000,5000,0.1

Temp,E_mean,E_std,M_mean,M_std
1.6,-1.9217363359165516,0.08949741757621565,0.9773314688105086,0.02931232472110779
1.7000000000000002,-1.9055651024499638,0.09795833121946705,-0.9732186451724205,0.030279464393824913
1.8000000000000003,-1.845097009695442,0.1314833919564738,-0.9512222441679765,0.05135576072291289
1.9000000000000004,-1.8216603217923324,0.12984134534512176,0.945773153692323,0.046275543409624455
2.0000000000000004,-1.719607913940042,0.17503340275063314,-0.9012122404565809,0.0826306023560403
2.1000000000000005,-1.6449449829612643,0.1989205451894763,-0.8730666106117799,0.09101513342645057
2.2000000000000006,-1.5202080403167884,0.21640341820896095,-0.8036127206766026,0.12887122180529878
2.3000000000000007,-1.4006801349660305,0.2754388278064423,-0.16982196367551242,0.7202650773603274
2.400000000000001,-1.1630806170789976,0.28832942571750636,-0.3235647126243851,0.4664614161059268
2.500000000000001,-1.0607561518082882,0.27422674631211247,-0.3200640127392179,0.4034337462244158
2.600000000000001,-0.9867973595076643,0.21164754888131654,-0.04580116029333224,0.42878424099147683
2.700000000000001,-0.9057411487506948,0.21906913248188015,0.0547509498575266,0.42064008492891314
2.800000000000001,-0.8073534708955236,0.20012562771457396,0.04939787948526819,0.32671848253826385
2.9000000000000012,-0.7682096424115183,0.1879195514993809,-0.05341068190839391,0.2884402702624793
3.0000000000000013,-0.72961792402427,0.18896035230281585,-0.04038407698878767,0.2640288524786809
3.1000000000000014,-0.7257451497794843,0.19297431808872204,-0.06447689540968893,0.3055143681800572
3.2000000000000015,-0.6729505906035409,0.1893028335919828,0.07852370472661041,0.2500060831213276
3.3000000000000016,-0.6611562317926947,0.17305193628906626,-0.035787157598114606,0.2620886751229976
3.4000000000000017,-0.6286137235369723,0.18317283943106394,-0.0006681336326571936,0.21981851073214473
3.5000000000000018,-0.6129145845100149,0.15624407067104387,0.06702540518880296,0.2098683931378489
