Spin Correlations values from pickles/*.pickle
For inp values for each row see inp_readme.csv

Temp,n_samples,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,mean_d6,mean_d7,mean_d8,mean_d9,mean_d10,mean_d11,mean_d12,mean_d13,mean_d14,std_d1,std_d2,std_d3,std_d4,std_d5,std_d6,std_d7,std_d8,std_d9,std_d10,std_d11,std_d12,std_d13,std_d14
2.62,500.0,0.2624331064522266,0.15665088410302996,0.09569088395692506,0.05527755063341465,0.028713106200881158,0.010850884096227673,-3.356044638772593e-05,-0.00661578258169414,-0.012211338190451561,-0.016042449391265107,-0.019238004812247852,-0.022455782698818916,-0.022375782527902628,4.624284932271896e-44,0.05096588913405897,0.053247345573244155,0.052986995641947,0.05076094694818609,0.04667276773908267,0.04348616420978151,0.039185725528602444,0.039296161818763185,0.04254561163082255,0.044117568434749635,0.04619136113648498,0.05101037683431315,0.05683907053430385,0.0
2.63,500.0,0.26028218276798726,0.15769107163138688,0.0978466272210353,0.05944662715599407,0.03330884949722531,0.014068849487883272,-0.00013115058438655192,-0.008380039440056861,-0.015148928282967062,-0.017162261624337274,-0.02037559500010684,-0.023002261623492812,-0.023486706034738746,4.624284932271896e-44,0.051971436373339515,0.05127838786977734,0.049208741721741486,0.0465008305092506,0.04430918902388174,0.04107544241421539,0.03877280087168176,0.037893030832251304,0.037733626731047534,0.04134471241128802,0.04442716586701847,0.05070640066029553,0.05790404295727834,0.0
2.64,500.0,0.2532575310766697,0.14893753080070019,0.08897308631171473,0.05051975294482327,0.027101975198871513,0.009981975241564214,-0.0036758025882627408,-0.013426913637376857,-0.018622469159405804,-0.020449135794224277,-0.021649135859929294,-0.023129135835159104,-0.023440246932499575,4.624284932271896e-44,0.05142785343477453,0.05067228634530719,0.04854158641720068,0.04484671945332894,0.0408750126102989,0.03788837257469907,0.037644805474531744,0.03603684335400304,0.036883666536972365,0.04019839696540348,0.04475848780812472,0.05048405477769261,0.05691261907484086,0.0
2.65,500.0,0.25425121960043906,0.1519578862786293,0.09125121946888975,0.052384552786825224,0.026926774892534013,0.009308997206302592,-0.0014598916669201572,-0.009757669493730645,-0.014788780634827163,-0.016673225139384157,-0.01955766956987645,-0.01989100287169142,-0.020597669579593025,4.624284932271896e-44,0.04960244560127147,0.048637931773947575,0.04627149136080026,0.0432334506384691,0.04178194086013746,0.03953446113682935,0.03959150094388332,0.037995947876647215,0.03781539150421245,0.042003780265150205,0.046240091986126344,0.05134358031901326,0.05658091075655899,0.0
2.66,500.0,0.25359052868932486,0.15060830641211942,0.08720386164006777,0.049537195129320026,0.02459052847263363,0.008692750712365523,-0.003462804871262051,-0.011293916077382164,-0.018467249287521553,-0.021547249361203284,-0.022902804910263513,-0.02516502712693182,-0.0255694716880098,4.624284932271896e-44,0.052454507872106995,0.05145220786745175,0.049643974178855924,0.0472026745185463,0.04410885465631361,0.04111396256431192,0.03953017978604409,0.03908456002012531,0.0391028732951412,0.04073282224789732,0.04438583614253269,0.04952753806894509,0.05668033266950096,0.0
2.67,500.0,0.25570462228357793,0.15187351117562503,0.09217128914303611,0.055269066787241174,0.03090462218865246,0.013451288793286949,-0.0002642666828505753,-0.007290933356794994,-0.015437600000838445,-0.02157537777221296,-0.025366488886538717,-0.029837600108738115,-0.03246871112982437,4.624284932271896e-44,0.05075939958875117,0.052464168166779575,0.04986827284040019,0.04763299504060511,0.045501758582538826,0.042884178528769384,0.0404035516011689,0.039372145191324454,0.04022984718314156,0.04190950143000487,0.04528084311939532,0.048964365864844706,0.05323436348641063,0.0
2.68,500.0,0.24717210830748082,0.1465543305426836,0.08921655314631062,0.053709886381344406,0.02957210861156033,0.013185442005592761,0.001669886405390571,-0.006099002471150016,-0.013996780200046487,-0.018770113590606343,-0.02125900247071695,-0.023601224696314604,-0.022952335837019746,4.624284932271896e-44,0.04621921474357574,0.04727066335059047,0.045195304388491335,0.04207314952042828,0.040550993473554904,0.038742152400934676,0.03716601654671679,0.035504649369947475,0.03689123460515385,0.03856351204243294,0.04175800563621947,0.04618046458009821,0.0540418436962509,0.0
2.69,500.0,0.24682320022583007,0.14368097772635519,0.08391208900004858,0.0472187558562176,0.023369866852893544,0.008240977890207432,-0.00155902204150334,-0.009541244326962106,-0.0161856886803871,-0.017887910944474242,-0.019643466511333828,-0.019550133144817666,-0.01992346651284606,4.624284932271896e-44,0.04865345543740845,0.04921153881282753,0.04755412931045998,0.04539918774127689,0.0429247407907104,0.041896495369922966,0.041901369304929395,0.03885888246471986,0.03908311543019373,0.037575995376373066,0.040419424659801126,0.04373746444842911,0.04819893048591009,0.0
2.7,500.0,0.2409223411232233,0.1375267851166427,0.07865122954640537,0.042642340971969464,0.01903789644880453,0.0027223408832214775,-0.0054954370087361894,-0.010873214690756867,-0.0157132147145021,-0.017762103606306482,-0.018193214666898713,-0.020975436726934277,-0.02205988140180125,4.624284932271896e-44,0.04371361360422007,0.04525841975128777,0.044946763036783376,0.04434473413604473,0.042581871996999074,0.03922558222090452,0.03753483549686033,0.03653804338672145,0.0367503838643175,0.040365472583567846,0.04570191355173279,0.04918806903327593,0.05517844114981369,0.0
2.71,500.0,0.23721238513290882,0.13544349622540175,0.07810127404506784,0.04347460734834749,0.02331016279379037,0.008963496121024945,-0.00038761499606394654,-0.004925392779038392,-0.010418726086441893,-0.011072059440703014,-0.013276503843950195,-0.015120948369039688,-0.015618726080603666,4.624284932271896e-44,0.0455183562372474,0.0455395983978087,0.043787037842655537,0.04194510913532439,0.041428026412227544,0.040921113032963426,0.039101164574434744,0.03774685537176515,0.03746524559421766,0.03743204090805301,0.03924144983375792,0.0439743224517993,0.04944229419765289,0.0
2.72,500.0,0.2397666765153408,0.13808223208598794,0.07916223203798291,0.04286000981889811,0.02104223206330789,0.0055044543547337526,-0.0035844345894729484,-0.009375545782079825,-0.013171101209148507,-0.015184434649392642,-0.016802212482485628,-0.018779990181109783,-0.019957767977575713,4.624284932271896e-44,0.04402629234393714,0.04474184611957119,0.04416076485643848,0.04284102101450699,0.041055150622472135,0.03973904724449207,0.03940631487808343,0.03915582531178274,0.03758060268453329,0.038698704044035706,0.04070251045274756,0.045653859738531206,0.051032635441762945,0.0
