E and M values from pickles/*.pickle
For inp values for each row see inp_readme.csv

Temp,n_samples,E_mean,E_std,M_mean,M_std,E_stdstd,M_stdstd
2.113,10000,-1.6379072399139405,0.021930119953151195,0.849738299870491,0.026780614195130534,0.0016005787766232215,0.003613049555373984
2.114,10000,-1.6368385602355002,0.023146924168257105,0.8482139600336551,0.025175955895289058,0.0015027853607837741,0.0021441950998919226
2.115,10000,-1.625813360476494,0.03194021000426718,0.814689359420538,0.07131385101698587,0.0020244607385362452,0.00402904617754304
2.116,10000,-1.6370833201050758,0.023186114099630173,0.846995440262556,0.030864611669171444,0.0016972638807708417,0.00391993691498058
2.117,10000,-1.6249664405822755,0.025773768079111015,0.8237008999407291,0.0548692368686958,0.0016632968003913856,0.005499045075633799
2.118,10000,-1.634967080461979,0.023310580968199157,0.8529990197837353,0.017647765237719316,0.001725995877904622,0.001690727912516958
2.119,10000,-1.6155708799958228,0.031820741185019145,0.7874564997494221,0.08740398727349571,0.0023931466339308497,0.005739683613907781
2.12,10000,-1.6329206803441048,0.023132541113109233,0.8501190797507763,0.022182480149947535,0.0017048540622285496,0.0023469578292936314
2.121,10000,-1.6276648798227311,0.027958611391865992,0.8411505996048451,0.04396374099883467,0.0031141231218206607,0.006686697853137157
2.122,10000,-1.6197480805873872,0.02826265449952087,0.8291599401116371,0.047210065097356056,0.0021642264292403893,0.004847723200151695
2.123,10000,-1.593761200129986,0.02590077210195851,0.6844834003150463,0.09446845400837603,0.001724640891709807,0.005438503824002667
2.124,10000,-1.6064508797764778,0.03555081902452261,0.7579634998708963,0.11715241888054717,0.002213806722756093,0.0068131604275505665
2.125,10000,-1.6190000398993492,0.027777512784042984,0.8171219802558423,0.061661121285268496,0.001964878086817866,0.0054749660780583865
2.126,10000,-1.5792783600330353,0.02268471541744462,0.6058244599431754,0.062161045034612936,0.0018279852163942548,0.004456271944056645
2.127,10000,-1.5971885596632958,0.033520306902834716,0.7358350800454616,0.11139298113478578,0.0019192913268090163,0.0034966404802253674
2.128,10000,-1.6186490404605864,0.023915111969809996,0.8292978598296642,0.03528246954236685,0.0015172398648913153,0.0026912587828216957
2.129,10000,-1.6185834795594216,0.02348709337300073,0.827068359810114,0.039652133507957744,0.0013719011086214927,0.0031829267170607914
2.13,10000,-1.6056916404247283,0.02778350428153692,0.8074562398791313,0.05251689465487769,0.002180222369214331,0.004565347298715162
2.131,10000,-1.6195370400190354,0.024028805966274665,0.8415877598762512,0.0213086825717871,0.0017709345107931051,0.0021154273687533334
2.132,10000,-1.5777101998448373,0.04077781464764167,0.6402665195614099,0.16265032474351887,0.0023591910859547135,0.007508468035506476
2.133,10000,-1.5548329200029374,0.04065534310540936,0.5637301801376045,0.16849191983652134,0.0027147526575007205,0.009939535118485615
2.134,10000,-1.6123573204517365,0.027985193613769943,0.8302623800754547,0.03993629508504072,0.0020305377366307397,0.003466950611962526
2.135,10000,-1.614333600258827,0.02870946036522914,0.8299816401422023,0.052003215524769685,0.0021906388512772652,0.008451058902843155
2.136,10000,-1.582244560110569,0.02808806642151821,0.7114975200533867,0.06809114406715093,0.0019870470328317703,0.004424073031371725
2.137,10000,-1.6138035603761673,0.02408903111409067,0.8388299596846104,0.018280746712232517,0.0017585767573121568,0.0012461705773898941
2.138,10000,-1.6042361598730088,0.03205294305260733,0.8104209199130535,0.06856209459021267,0.002055682514265426,0.0058386573945000304
2.139,10000,-1.5249067999839783,0.02974751928378294,-0.01778074002664507,0.05795074645696398,0.0018413918377844288,0.0031095059633104946
2.14,10000,-1.6041068001389502,0.026214234086305493,0.8205116599917411,0.04127343273689273,0.0020278214377974137,0.004505082657967286
2.141,10000,-1.6036458793640136,0.02409968250598242,0.8268284797132015,0.027994369231978924,0.0017453726252696674,0.0033457947805008276
2.142,10000,-1.6018101603865624,0.02555670168081698,0.818965759807825,0.03433638322150652,0.0016588530224568635,0.002541408549883359
2.143,10000,-1.6004226403594017,0.02476176460983549,0.8157564197719097,0.04305342734570926,0.0016333368368872518,0.004073791464720132
2.144,10000,-1.5964445598721504,0.026194027837226404,0.8177569998443127,0.03439595135646326,0.0019841198863796918,0.0046869720861570634
2.145,10000,-1.6051767607212066,0.025134047580622543,0.8324353399217129,0.02099003942120509,0.001430727073226863,0.001436745014879191
2.146,10000,-1.5954208397626877,0.02577934221910496,0.8124676602423191,0.042531504690240945,0.0018657625270223873,0.0038348282075250234
2.147,10000,-1.591387560224533,0.02836684490495017,0.787385539585352,0.0658776222223361,0.002372097793199199,0.004081607111298271
2.148,10000,-1.5862646802186966,0.037093664000090495,0.7797384197890759,0.10203323242368775,0.0030168206981694787,0.01116657637362153
2.149,10000,-1.591448279941082,0.026223197193170976,0.814471360117197,0.03595653519289416,0.00190635500355913,0.003397236414882259
2.15,10000,-1.5899295602440835,0.025568179795506945,0.792785920470953,0.05783962563115198,0.001813688453028775,0.0035338879980139713
2.151,10000,-1.5198190006375312,0.0220799751723115,-0.06358486009282496,0.06181578646126029,0.0015937160921491189,0.0046979172333726
2.152,10000,-1.5784395201206207,0.031871853069611156,0.7652392598927021,0.08109753613546275,0.0020800671040780406,0.004126046627481977
2.153,10000,-1.5863320396065712,0.028990382581539048,0.7946713199734687,0.04985791638578426,0.0018301571641230786,0.002260716179471946
2.154,10000,-1.5963648801565171,0.024389713907581115,0.8279172598123551,0.022849691432472848,0.0015630486223331792,0.0019400073588262433
2.155,10000,-1.5774753602981568,0.0347996102836974,0.7803123000442982,0.07337460162063322,0.0019216648996323834,0.004597338014910717
2.156,10000,-1.5867488404631616,0.025302188246469407,0.8174423397839069,0.02655232587213549,0.0019646127439837185,0.003274728675205579
2.157,10000,-1.5760948803424835,0.031087183348497194,0.7683689798414707,0.08927067385104469,0.002238951264872671,0.008187848678540851
2.158,10000,-1.5873122405767441,0.02767902301759146,0.8152477601230145,0.036300347841130905,0.0019345377189082308,0.005220526713277397
2.159,10000,-1.5829735200047492,0.024238735268881838,0.8132813399970531,0.027887960944225732,0.0017807565258942894,0.002768262450822329
2.16,10000,-1.58045424015522,0.02898434498890798,0.8090243997633457,0.04389356670656407,0.0025076785699170005,0.005646737758670719
2.161,10000,-1.5819945205807686,0.022499019011808938,0.8086891199707985,0.03372155816921352,0.0014627953063382363,0.0046766431941564005
