Spin Correlations values from pickles/*.pickle
For inp values for each row see inp_readme.csv

Temp,n_samples,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,mean_d6,mean_d7,mean_d8,mean_d9,std_d1,std_d2,std_d3,std_d4,std_d5,std_d6,std_d7,std_d8,std_d9
2.78,500.0,0.1970612993016839,0.09735129965469241,0.044811299667801355,0.012111299602845684,-0.006368700365801924,-0.01824870028319303,-0.028588700460353722,-0.032428700409750454,0.0,0.06135727129914415,0.05638641314565874,0.05339782824585994,0.04872182381571539,0.04328906141179384,0.04556330861770476,0.052992743844453974,0.06346851216771615,0.0
2.79,500.0,0.20196464985236526,0.10307465028134175,0.04634465021889991,0.011834650077369589,-0.006005349730701709,-0.019825349762646948,-0.026705349772132177,-0.031415349859104026,-0.06211678683757782,0.0618354074893113,0.0603249121033466,0.05624073619856595,0.051750686445121256,0.050497749895467216,0.048644608848689874,0.05290959029169573,0.06170557729103005,0.0
2.8,500.0,0.19431925054825844,0.09588925040759204,0.041669250373114045,0.00983925026235709,-0.00992074958124431,-0.023750749512226322,-0.031110749597180985,-0.029100749527035077,-0.06211678683757782,0.06087794577096132,0.059064371284624884,0.05339705819739758,0.050472614913755036,0.04696359172541375,0.04745469524803495,0.05353690292822146,0.06401118326191202,0.0
2.81,500.0,0.19641320022940637,0.09767320011020639,0.04517320024092085,0.015523200148625182,-0.004346799674279027,-0.017136799744474268,-0.025666799726197495,-0.030986799812661486,5.083283065620019e+31,0.06319838228622057,0.05983037015177012,0.05474140772008124,0.048914976813296186,0.04779064243586254,0.046359333377009836,0.04965356049383566,0.05700804278983538,0.0
2.82,500.0,0.18904825004562736,0.09017824957853197,0.039778249759776084,0.010928249847798725,-0.005961750160531664,-0.018151750139251816,-0.024061750217289665,-0.025271750134648756,-0.06211678683757782,0.0658434215202541,0.06109056991809498,0.05742726122694804,0.054072158905119405,0.04839788782405901,0.0476964145419795,0.051079244192623004,0.060677237462954565,0.0
2.83,500.0,0.18614584942907095,0.08717584970971802,0.03590584993090306,0.00770584982042783,-0.008784150108946343,-0.01670415012986807,-0.022234150190792137,-0.025214150200103178,0.0,0.05935014553897794,0.05390800425374397,0.05208447625109797,0.048270763287928065,0.04661346280284537,0.04801928338000404,0.053017886590187066,0.06135067108155371,0.0
2.84,500.0,0.18497025063633918,0.08524025039067026,0.03482025012356462,0.006040250174693938,-0.012689749837867567,-0.022649749790278728,-0.031149749720033724,-0.033099749616165644,0.0,0.05779410711280801,0.05623822960510979,0.052075693693470454,0.04731534728404004,0.04589937317406974,0.04826595631664602,0.05383244152533778,0.06495758789572732,0.0
2.85,500.0,0.1866961000552401,0.09055610004607255,0.03909609992369907,0.009046100071980617,-0.005053900041226298,-0.014263900080347376,-0.019853899982914737,-0.02108389997627819,0.0,0.05932838426406784,0.06009447318508865,0.0561868883084062,0.05209353625659336,0.049298083496247674,0.05034086411749975,0.05654328081560098,0.06549968777266973,0.0
2.86,500.0,0.18716290048509837,0.08951290035480633,0.03782290023565991,0.004942900262758485,-0.01196709979781459,-0.02455709969844204,-0.031157099576317706,-0.03321709978263243,0.0,0.06000716229305407,0.05787610816407069,0.05313726913056387,0.051768440090712256,0.04973835216199221,0.04925053774778974,0.054808363851769556,0.06152575396917883,0.0
2.87,500.0,0.18121775037795304,0.08287774994946084,0.03212775017076638,0.003287750109044282,-0.010792249916967412,-0.01813224971130869,-0.024372249776137323,-0.02915224994600285,0.0,0.05895430322387372,0.05864277243498385,0.054037865331411764,0.050441628966488086,0.04686613996858164,0.047137386883324146,0.051145069663725534,0.06061824865752289,0.0
2.88,500.0,0.1827342002131045,0.08867420008656336,0.039634199876496565,0.011424200133886188,-0.005105800097790052,-0.015475799993852707,-0.019905799934458627,-0.019525799944727622,0.0,0.05993844758893491,0.05914941723167783,0.05294708667268509,0.04884916554695627,0.04542055830764795,0.045393765049842244,0.04889474336884133,0.059184233125597674,0.0
2.89,500.0,0.18071804993227125,0.08565804989216849,0.036198049906291996,0.009008050022227689,-0.005771950041227683,-0.015111950142356364,-0.02039194999124811,-0.020861950136430097,0.0,0.056551279192179935,0.053291783902639986,0.04919369294425831,0.04779113214871008,0.04734619173177447,0.046497658403352495,0.04970943192917708,0.05724731704175606,0.0
2.9,500.0,0.17780930052767507,0.08463930028377217,0.03468930041932981,0.0068793003411334935,-0.009190699581689842,-0.01809069955510553,-0.023850699484436046,-0.026850699449740206,1.5553011655541145e-41,0.061596678763149164,0.058757981632071146,0.054974526013955145,0.04976458869951651,0.047463903129767754,0.04878952898287492,0.05116057735137987,0.060016847466821656,0.0
2.91,500.0,0.16860900025442244,0.07385900009256147,0.02546900003266637,0.002879000170418294,-0.010350999858455907,-0.018520999947124365,-0.02232099989952985,-0.024870999926202786,0.0,0.05719747503876446,0.05551842140272905,0.0505811973421955,0.04878569814872568,0.047917494443850545,0.04898027181672593,0.05364182524930106,0.060914902090893626,0.0
2.92,500.0,0.1668530495762825,0.07191305005023606,0.02649305001604269,0.00039305000669453884,-0.011206950010284782,-0.015936949876444416,-0.020946949967321125,-0.022516949956669415,0.0,0.05852020615743329,0.052072627746794074,0.049694865357148565,0.04712961206621526,0.04528347451337002,0.04617218766490934,0.050662931306516,0.05538853013915063,0.0
2.93,500.0,0.17231740045920013,0.0806073999939108,0.034297400185852894,0.007687400149603491,-0.006482599899012712,-0.015452600001921382,-0.022402599845821825,-0.023902599877985195,1.5553011655541145e-41,0.057410299142480394,0.05522104020882738,0.05098140919008806,0.05020458232101903,0.0449676949962948,0.045559574855508135,0.05236797411119456,0.058099401194036324,0.0
2.94,500.0,0.16948725025262684,0.0732772502152907,0.025967250153171334,0.0018172501262975857,-0.010282749946756667,-0.015212749939748318,-0.015902749921800862,-0.018532749933656306,1.5553011655541145e-41,0.05485702172431823,0.05074071225142157,0.049591341823033805,0.04661107537155345,0.04419782590598227,0.046987726914370434,0.05345277166124092,0.059549616992510185,0.0
2.95,500.0,0.1653589999799151,0.0702089999386808,0.024478999871331616,0.00023900001590489416,-0.013450999950492116,-0.0214410000377972,-0.024141000102754332,-0.030060999862031167,-2.4024255969678836e-24,0.054673629933983975,0.051525178363348134,0.0471785991970814,0.044803728062442025,0.043297722614280665,0.047226218388185935,0.05222532220367553,0.06241438475649188,0.0
